27,4,4,3,processed,"1054 jpg images, exterior only, evening, low light ",2018-07-14,mexico_chichen_Itza\mexico_chichen_itza_july_2018\master\2018.07.14\2018.07.14.observatorio.sfmg,sfm,null
28,3,4,3,unprocessed,"two videos, 1st zooming out from caracol, moving towards monjas, 2nd video shows only monjas, should reorganize",2018-07-14,mexico_chichen_Itza\mexico_chichen_itza_july_2018\master\2018.07.14\2018.07.14.observatorio.mediava,video,null
29,3,4,3,processed,474 images,2018-07-14,mexico_chichen_Itza\mexico_chichen_itza_july_2018\master\2018.07.14\2018.07.14.observatorio.orbit.sfma,sfm,null
30,3,4,3,processed,stitched pano and 26 jpg images ,2023-11-02,mexico_chichen_Itza\mexico_chichen_itza_2023\master\SFM_smeacham\Meacham_Drone Panoramics data\20230211-Mavic2-360s\Observatory Panoramic,360 pano,null
31,5,4,5,unprocessed,6 laz pointclouds,2023-06-02,null,pointclouds,null
32,3,5,4,processed,"stitched pano image, and 26 jpg images ",2023-11-02,mexico_chichen_Itza\mexico_chichen_itza_2023\master\SFM_smeacham\Meacham_Drone Panoramics data\20230211-Mavic2-360s\Ball Court Panoramic,360 pano,null
33,5,5,3,process errors ,"2678 jpg images, showing western side of ballcourt ",2018-12-07,mexico_chichen_Itza\mexico_chichen_itza_july_2018\master\2018.07.12\2018.07.12.gran.juego.pelota.west.sfmg,sfm,null
34,5,5,5,processed,"879 jpg images, this model has associated markers ",2018-12-07,mexico_chichen_Itza\mexico_chichen_itza_july_2018\master\2018.07.12\2018.07.12.gran.juego.pelota.survey.sfma,sfm w/ control points ,null
35,5,5,5,unprocessed,"1 laz pointclouds, covering north exterior wall ",2023-10-02,null,pointclouds,null
36,2,6,5,processed,2 laz pointclouds,2023-07-02,null,pointclouds,null
37,4,7,3,processed,15 scans of ballcourt interior and temple of the jaguar lower ,2018-12-07,mexico_chichen_Itza\mexico_chichen_itza_july_2018\master\2018.07.12\2018.07.12.templo.jaguares.lidar,pointclouds,null
38,4,7,3,processed,"1535 jpg images, low light ",2018-07-16,mexico_chichen_Itza\mexico_chichen_itza_july_2018\master\2018.07.16\2018.07.16.jaguares.sfmg,sfm,null
39,4,7,3,processed,"5812 images, including JPG and Raw ",2018-12-07,mexico_chichen_Itza\mexico_chichen_itza_july_2018\master\2018.07.12\2018.07.12.templo.sur.sfmg,sfm,null
40,4,8,3,processed,2114 images,2018-07-14,mexico_chichen_Itza\mexico_chichen_itza_july_2018\master\2018.07.14\2018.07.14.templo.norte.sfmg,sfm,null
41,3,9,3,processed,1268 images,2018-12-07,mexico_chichen_Itza\mexico_chichen_itza_july_2018\master\2018.07.12\2018.07.12.templo.sur.sfmg,sfm,null
42,3,10,6,processed,875 jpg images,2023-10-02,Z:\mexico_chichen_Itza\mexico_chichen_itza_2023\master\PHOTOS_DRONE_ARLETTE\MIL_COLUMNAS_9_02_2023,sfm,null
43,3,10,3,processed,1706 jpg,2018-07-13,mexico_chichen_Itza\mexico_chichen_itza_july_2018\master\2018.07.13\2018.07.13.mil.columnas.sfma,sfm,null
44,5,10,3,processed,1260 jpg,2018-07-15,"mexico_chichen_Itza\mexico_chichen_itza_july_2018\master\2018.07.15\2018.07.15.mil.columnas.sfma""",sfm,null
45,5,11,5,processed,4 laz pointclouds,2023-06-02,null,pointclouds,null
46,5,12,5,processed,1 laz pointcloud,2023-06-02,null,pointclouds,null
47,5,13,5,processed,1 laz pointcloud,2023-10-02,null,pointclouds,null
48,5,14,5,processed,1 laz pointcloud,2023-10-02,null,pointclouds,null
49,5,15,5,processed,3 laz pointcloud,2023-11-02,null,pointclouds,null
50,1,16,5,processed,3 laz pointclouds,2023-11-02,null,pointclouds,null
51,3,17,1,null,null,null,null,null,null
52,4,18,4,processed,"274 jpg images, 274 raw, capturing Monjas northern facade ",2023-10-02,mexico_chichen_Itza\mexico_chichen_itza_2023\master\SFM_smeacham\monjas_facade,sfm,null
